,model,all_overall,all_lastquarter,bool_overall,quant_overall,bool_lastquarter,quant_lastquarter,all_learnrate,all_lq_above_sd,all_lq_above_2sd,all_lq_above_3sd,all_lq_at_human_baseline,all_ove_at_human_baseline,all_above_chance,boolean_lq_above_sd,boolean_lq_above_2sd,boolean_lq_above_3sd,boolean_lq_at_human_baseline,boolean_ove_at_human_baseline,boolean_above_chance,boolean_learn_rate,quant_lq_above_sd,quant_lq_above_2sd,quant_lq_above_3sd,quant_above_chance,quant_learn_rate,quant_lq_at_human_baseline,quant_ove_at_human_baseline
0,GPT 3.5,0.6853075809927549,0.745693579660385,0.7614311008750106,0.6521255338645922,0.8572459626255166,0.6970681819576355,0.7857142857142857,0.6696428571428571,0.9375,0.9732142857142857,0.36607142857142855,0.22321428571428573,0.6875,0.6470588235294118,0.9411764705882353,0.9411764705882353,0.4117647058823529,0.20588235294117646,0.9411764705882353,1.0,0.6794871794871795,0.9358974358974359,0.9871794871794872,0.5769230769230769,0.6923076923076923,0.34615384615384615,0.23076923076923078
1,GPT2,0.6216955969684832,0.707071004392433,0.6335126509895089,0.6165445734208566,0.7028706587530117,0.7089019242865396,0.8214285714285714,0.5357142857142857,0.7857142857142857,0.9196428571428571,0.2857142857142857,0.19642857142857142,0.7142857142857143,0.2647058823529412,0.6176470588235294,0.7941176470588235,0.08823529411764706,0.058823529411764705,0.8235294117647058,0.7941176470588235,0.6538461538461539,0.8589743589743589,0.9743589743589743,0.6666666666666666,0.8333333333333334,0.3717948717948718,0.2564102564102564
2,GPT2-XL,0.6540976741198042,0.6838554302840016,0.6634566664847612,0.6500181133453358,0.7224363871422694,0.6670380901150131,0.6071428571428571,0.5,0.7410714285714286,0.8839285714285714,0.29464285714285715,0.25892857142857145,0.5803571428571429,0.38235294117647056,0.5294117647058824,0.7352941176470589,0.17647058823529413,0.08823529411764706,0.6764705882352942,0.6176470588235294,0.5512820512820513,0.8333333333333334,0.9487179487179487,0.5384615384615384,0.6025641025641025,0.34615384615384615,0.3333333333333333
3,GPT4,0.7636331117247845,0.8125968726631488,0.90754040342276,0.7009042922666927,0.9871486675165422,0.7365101928552596,0.7946428571428571,0.8571428571428571,0.9910714285714286,1.0,0.625,0.5803571428571429,0.8035714285714286,1.0,1.0,1.0,1.0,0.8823529411764706,0.9411764705882353,1.0,0.7948717948717948,0.9871794871794872,1.0,0.7435897435897436,0.7051282051282052,0.46153846153846156,0.44871794871794873
4,Gemma-2b,0.7509722530163605,0.7717374159938922,0.77133891991038,0.7420944751394801,0.8121035143071698,0.7541419372419507,0.6517857142857143,0.7410714285714286,0.9375,0.9732142857142857,0.39285714285714285,0.5714285714285714,0.8839285714285714,0.5294117647058824,0.8529411764705882,0.9117647058823529,0.20588235294117646,0.3235294117647059,0.9411764705882353,0.7058823529411765,0.8333333333333334,0.9743589743589743,1.0,0.8589743589743589,0.6282051282051282,0.47435897435897434,0.6794871794871795
5,Gemma-2b-it,0.6308661245528133,0.7028764963833465,0.6537340747730758,0.6208980436875707,0.7491214424886521,0.6827184429528286,0.8392857142857143,0.5714285714285714,0.8660714285714286,0.9642857142857143,0.22321428571428573,0.08928571428571429,0.6964285714285714,0.35294117647058826,0.6764705882352942,0.8823529411764706,0.11764705882352941,0.029411764705882353,0.8235294117647058,0.8823529411764706,0.6666666666666666,0.9487179487179487,1.0,0.6410256410256411,0.8205128205128205,0.2692307692307692,0.11538461538461539
6,Gemma-7b,0.7951734653016602,0.8400414179349708,0.8855153588099518,0.7557936655672769,0.9686586012011806,0.7839775175368794,0.7767857142857143,0.9196428571428571,0.9910714285714286,0.9910714285714286,0.7053571428571429,0.7946428571428571,0.9017857142857143,0.9705882352941176,1.0,1.0,0.8529411764705882,0.7941176470588235,0.9411764705882353,1.0,0.8974358974358975,0.9871794871794872,0.9871794871794872,0.8846153846153846,0.6794871794871795,0.6410256410256411,0.7948717948717948
7,Gemma-7b-it,0.7575649974901627,0.8223297700086898,0.844042862095601,0.7198695180467666,0.9156056669007703,0.7816710457223984,0.8392857142857143,0.8928571428571429,0.9821428571428571,0.9821428571428571,0.5982142857142857,0.5892857142857143,0.8839285714285714,0.8235294117647058,0.9411764705882353,0.9411764705882353,0.5882352941176471,0.6176470588235294,0.9411764705882353,0.9411764705882353,0.9230769230769231,1.0,1.0,0.8589743589743589,0.7948717948717948,0.6025641025641025,0.5769230769230769
8,Llama2-70b,0.7344255261395473,0.7936410087316946,0.7987084311315878,0.7064047726814784,0.916200229729879,0.7402177585529988,0.7857142857142857,0.8571428571428571,0.9642857142857143,0.9732142857142857,0.49107142857142855,0.4375,0.8303571428571429,0.8823529411764706,0.9117647058823529,0.9117647058823529,0.6176470588235294,0.38235294117647056,0.9411764705882353,0.9705882352941176,0.8461538461538461,0.9871794871794872,1.0,0.782051282051282,0.7051282051282052,0.4358974358974359,0.46153846153846156
9,Llama2-70b-Chat,0.6810541507624146,0.7155039399219573,0.7871336902102803,0.6348143515159089,0.8285092118240036,0.6662452316569627,0.75,0.6428571428571429,0.8928571428571429,0.9553571428571429,0.24107142857142858,0.19642857142857142,0.6607142857142857,0.6764705882352942,0.8823529411764706,0.9117647058823529,0.2647058823529412,0.23529411764705882,0.8529411764705882,0.7647058823529411,0.6282051282051282,0.8974358974358975,0.9743589743589743,0.5769230769230769,0.7435897435897436,0.23076923076923078,0.1794871794871795
10,Llama2-7b,0.7598016740933635,0.7990279504943923,0.8198325163579531,0.7336343838754652,0.8922059045190375,0.7584119192528804,0.7053571428571429,0.8482142857142857,0.9732142857142857,0.9821428571428571,0.49107142857142855,0.5535714285714286,0.8571428571428571,0.8529411764705882,0.9117647058823529,0.9411764705882353,0.5,0.4117647058823529,0.9411764705882353,0.8235294117647058,0.8461538461538461,1.0,1.0,0.8205128205128205,0.6538461538461539,0.48717948717948717,0.6153846153846154
11,Mixtral 8x7B Inst,0.7692404708720979,0.814504466277531,0.875243452978045,0.7230340427746338,0.9532421651361834,0.754029059082734,0.7857142857142857,0.875,0.9821428571428571,1.0,0.6339285714285714,0.6785714285714286,0.875,0.9411764705882353,1.0,1.0,0.8235294117647058,0.7647058823529411,0.9411764705882353,0.9705882352941176,0.8461538461538461,0.9743589743589743,1.0,0.8461538461538461,0.7051282051282052,0.5512820512820513,0.6410256410256411
